State|City|Zip|StreetNumber|StreetName|Pdir|Ssfx
,|,|,|,|bad acct,|,|,
,|,|,|,|delete,|,|,
,|,|,|,|do not use,|,|,
,|,|,|,|don't use,|,|,
,|,|,|,|delete these accts,|,|,
,|delete these accts,|,|,|,|,|,
||0,||||
||99999,||||
PA|Farrell|16121||Market||,Ave
PA|Mercer|16137||Shenango||,St
||||||PK,Pike
PA|Malvern|19355||Eaves Spring||Rd,Ct
||||||PKE,Pike
PA|West Chester|19380||Kennett||Dr,Way
PA|Bensalem|19020||Oldham||Pl,Ct
PA|Jenkintown|19046||Mather||Ave,Rd
PA|Lafayette Hill|19444||Fox Hound,Foxhound||
PA|Paoli|19301||Paoli Shop,Paoli Shopping||,Center
PA|Lansdowne|19050||Scotdale,scottdale||
PA|West Chester|19380||Quaker||Ln,Ridge
PA|Trevose|19053||Charter Court||Rd,
PA|Bristol|19007||RT 13,Old Route 13||
PA|Wayne|19087||Pedrick,Peddrick||
PA|Berwyn|19312||Oak Knoll||Ct,Dr
PA|Pheonixville|19460||Dogwood||,Dr
PA|Newtown Square|19073||Foxhill,Fox Hill||
PA|Trucksville,Shavertown|||Clearview||Ave
PA|Newtown Square|19073||Wedgewood||,Cir
PA|Lester|||Governor Printz,Governor Printz||
PA|Lester|||Gov Printz,Governor Printz||
PA|Lester,Tinicum Township|||Governor Printz||
PA|Tinicum Twp,Tinicum Township|||Governor Printz||
PA|Villanova,Radnor|||Sproul||Rd
PA|Feasterville Trevose|||Garfield||Ave,Ln
PA|Feasterville Trevose|||Trevose||Ave,Rd
PA|Trevose,Feasterville Trevose|||||
PA|Aldan,Clifton Heights|||Cricket||Ave,Ln
PA|Strafford,Tredyffrin|||Beechtree|W|Rd,Ln
PA|Strafford,Tredyffrin|||Birkshire|W|Rd,ter
PA|Exton|||Anthony,Anthonys||Dr
PA|Farrell|16121||Sharon N Castle,Sharon New Castle||
PA||||Mercerw middlesex,Mercer W Middlesex||
PA|Elysburg|||Valley||,Ave
PA|Coal TOwnship,Elysburg|||Aspen||St
PA|Locustdale,Ashland|||Middle||St
PA|Hazleton|18202||Lake Valley|,|Dr,Drive
PA|Chinchilla|18410,18411||Layton||
PA|Trucksville,Kingston|18708||Meadowcrest||
PA|Chesterbrook|||Militia Hill||Rd,Dr
PA|Chesterbrook|||Applehse pond,Applehouse pond||
PA|Chesterbrook|||Treaty||Rd,Dr
PA|Chesterbrook|||Springhse Pond,Springhouse Pond||
PA|Chesterbrook|||Springhouse Pond||,
PA|Chesterbrook|||Millhouse Pond||,
PA|Chesterbrook|||Meetinghouse Pond||,
PA|Chesterbrook|||Applehouse Pond||,
PA|Chesterbrook|||Kettlehouse Pond||,
PA|Chesterbrook|||Sullivans brdg,Sullivans bridge||
PA|Chesterbrook|||Flintlock||,Ln
PA|Chesterbrook|||Espirit||,Terrace
PA|West Chester|19380||Murdoch,Murdock||Dr
PA|West Chester|19380||whispering oak,whispering oaks||,Dr
||||||ct,court
||||||ter,terrace
PA|West Chester|19380||copeland schoo,copeland school||
PA|West Chester,chester|19380||brook||Dr
PA|West Chester|19380||jefferis brdg,jefferis bridge||
PA|Cynwyd,Bala Cynwyd|||Bryn Mawr||
PA|Exton|||Oak,Oak Lane West|W|
